instruction,output,input,data_source
Find all tasks related to customer ABC Inc. and summarize them.,"[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""created_by"",
        ""argument_value"": [""DEVU-123"", ""DEVU-456""]
      }
    ]
  },
  {
    ""tool_name"": ""summarize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]","You are an AI assistant designed to help developers in their day to day tasks by automating their requests using tools available to them.

The actions defined in this domain are:

The works_list action: Returns a list of work items matching the request. It has the following parameters: 
	applies_to_part: Filters for work belonging to any of the provided parts.
	created_by: Filters for work created by any of these users.
	issue.priority: Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3.
	issue.rev_orgs: Filters for issues with any of the provided Rev organizations.
	limit: The maximum number of works to return. The default is '50'.
	owned_by: Filters for work owned by any of these users.
	stage.name: Filters for records in the provided stage(s) by name.
	ticket.needs_response: Filters for tickets that need a response.
	ticket.rev_org: Filters for tickets associated with any of the provided Rev organizations.
	ticket.severity: Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium.
	ticket.source_channel: Filters for tickets with any of the provided source channels.
	type: Filters for work of the provided types. Allowed values: issue, ticket, task.


The summarize_objects action: Summarizes a list of objects. The logic of how to summarize a particular object type is an internal implementation detail. It has the following parameters: 
	objects: List of objects to summarize.


The prioritize_objects action: Returns a list of objects sorted by priority. The logic of what constitutes priority for a given object is an internal implementation detail. It has the following parameters: 
	objects: A list of objects to be prioritized.


The add_work_items_to_sprint action: Adds the given work items to the sprint. It has the following parameters: 
	work_ids: A list of work item IDs to be added to the sprint.
	sprint_id: The ID of the sprint to which the work items should be added.


The get_sprint_id action: Returns the ID of the current sprint. It has no parameters. 

The get_similar_work_items action: Returns a list of work items that are similar to the given work item. It has the following parameters: 
	work_id: The ID of the work item for which you want to find similar items.


The search_object_by_name action: Given a search string, returns the ID of a matching object in the system of record. If multiple matches are found, it returns the one where the confidence is highest. It has the following parameters: 
	query: The search string, could be for example customer’s name, part name, user name.


The create_actionable_tasks_from_text action: Given a text, extracts actionable insights, and creates tasks for them, which are kind of a work item. It has the following parameters: 
	text: The text from which the actionable insights need to be created.


The who_am_i action: Returns the ID of the current user. It has no parameters. 
",
Search for objects related to the customer CustomerABC and create action items from the search results.,"[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""CustomerABC""
      }
    ]
  },
  {
    ""tool_name"": ""create_actionable_tasks_from_text"",
    ""arguments"": [
      {
        ""argument_name"": ""text"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]","You are an AI assistant designed to help developers in their day to day tasks by automating their requests using tools available to them.

The actions defined in this domain are:

The works_list action: Returns a list of work items matching the request. It has the following parameters: 
	applies_to_part: Filters for work belonging to any of the provided parts.
	created_by: Filters for work created by any of these users.
	issue.priority: Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3.
	issue.rev_orgs: Filters for issues with any of the provided Rev organizations.
	limit: The maximum number of works to return. The default is '50'.
	owned_by: Filters for work owned by any of these users.
	stage.name: Filters for records in the provided stage(s) by name.
	ticket.needs_response: Filters for tickets that need a response.
	ticket.rev_org: Filters for tickets associated with any of the provided Rev organizations.
	ticket.severity: Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium.
	ticket.source_channel: Filters for tickets with any of the provided source channels.
	type: Filters for work of the provided types. Allowed values: issue, ticket, task.


The summarize_objects action: Summarizes a list of objects. The logic of how to summarize a particular object type is an internal implementation detail. It has the following parameters: 
	objects: List of objects to summarize.


The prioritize_objects action: Returns a list of objects sorted by priority. The logic of what constitutes priority for a given object is an internal implementation detail. It has the following parameters: 
	objects: A list of objects to be prioritized.


The add_work_items_to_sprint action: Adds the given work items to the sprint. It has the following parameters: 
	work_ids: A list of work item IDs to be added to the sprint.
	sprint_id: The ID of the sprint to which the work items should be added.


The get_sprint_id action: Returns the ID of the current sprint. It has no parameters. 

The get_similar_work_items action: Returns a list of work items that are similar to the given work item. It has the following parameters: 
	work_id: The ID of the work item for which you want to find similar items.


The search_object_by_name action: Given a search string, returns the ID of a matching object in the system of record. If multiple matches are found, it returns the one where the confidence is highest. It has the following parameters: 
	query: The search string, could be for example customer’s name, part name, user name.


The create_actionable_tasks_from_text action: Given a text, extracts actionable insights, and creates tasks for them, which are kind of a work item. It has the following parameters: 
	text: The text from which the actionable insights need to be created.


The who_am_i action: Returns the ID of the current user. It has no parameters. 
",
 Retrieve work items with the highest severity blocker and prioritize them.,"[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""ticket.severity"",
        ""argument_value"": ""blocker""
      }
    ]
  },
  {
    ""tool_name"": ""prioritize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]","You are an AI assistant designed to help developers in their day to day tasks by automating their requests using tools available to them.

The actions defined in this domain are:

The works_list action: Returns a list of work items matching the request. It has the following parameters: 
	applies_to_part: Filters for work belonging to any of the provided parts.
	created_by: Filters for work created by any of these users.
	issue.priority: Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3.
	issue.rev_orgs: Filters for issues with any of the provided Rev organizations.
	limit: The maximum number of works to return. The default is '50'.
	owned_by: Filters for work owned by any of these users.
	stage.name: Filters for records in the provided stage(s) by name.
	ticket.needs_response: Filters for tickets that need a response.
	ticket.rev_org: Filters for tickets associated with any of the provided Rev organizations.
	ticket.severity: Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium.
	ticket.source_channel: Filters for tickets with any of the provided source channels.
	type: Filters for work of the provided types. Allowed values: issue, ticket, task.


The summarize_objects action: Summarizes a list of objects. The logic of how to summarize a particular object type is an internal implementation detail. It has the following parameters: 
	objects: List of objects to summarize.


The prioritize_objects action: Returns a list of objects sorted by priority. The logic of what constitutes priority for a given object is an internal implementation detail. It has the following parameters: 
	objects: A list of objects to be prioritized.


The add_work_items_to_sprint action: Adds the given work items to the sprint. It has the following parameters: 
	work_ids: A list of work item IDs to be added to the sprint.
	sprint_id: The ID of the sprint to which the work items should be added.


The get_sprint_id action: Returns the ID of the current sprint. It has no parameters. 

The get_similar_work_items action: Returns a list of work items that are similar to the given work item. It has the following parameters: 
	work_id: The ID of the work item for which you want to find similar items.


The search_object_by_name action: Given a search string, returns the ID of a matching object in the system of record. If multiple matches are found, it returns the one where the confidence is highest. It has the following parameters: 
	query: The search string, could be for example customer’s name, part name, user name.


The create_actionable_tasks_from_text action: Given a text, extracts actionable insights, and creates tasks for them, which are kind of a work item. It has the following parameters: 
	text: The text from which the actionable insights need to be created.


The who_am_i action: Returns the ID of the current user. It has no parameters. 
",
Find all work items in the testing stage that are related to parts PART-1 and PART-2 and summarize them.,"[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""stage.name"",
        ""argument_value"": ""testing""
      },
      {
        ""argument_name"": ""applies_to_part"",
        ""argument_value"": [""PART-1"", ""PART-2""]
      }
    ]
  },
  {
    ""tool_name"": ""summarize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]","You are an AI assistant designed to help developers in their day to day tasks by automating their requests using tools available to them.

The actions defined in this domain are:

The works_list action: Returns a list of work items matching the request. It has the following parameters: 
	applies_to_part: Filters for work belonging to any of the provided parts.
	created_by: Filters for work created by any of these users.
	issue.priority: Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3.
	issue.rev_orgs: Filters for issues with any of the provided Rev organizations.
	limit: The maximum number of works to return. The default is '50'.
	owned_by: Filters for work owned by any of these users.
	stage.name: Filters for records in the provided stage(s) by name.
	ticket.needs_response: Filters for tickets that need a response.
	ticket.rev_org: Filters for tickets associated with any of the provided Rev organizations.
	ticket.severity: Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium.
	ticket.source_channel: Filters for tickets with any of the provided source channels.
	type: Filters for work of the provided types. Allowed values: issue, ticket, task.


The summarize_objects action: Summarizes a list of objects. The logic of how to summarize a particular object type is an internal implementation detail. It has the following parameters: 
	objects: List of objects to summarize.


The prioritize_objects action: Returns a list of objects sorted by priority. The logic of what constitutes priority for a given object is an internal implementation detail. It has the following parameters: 
	objects: A list of objects to be prioritized.


The add_work_items_to_sprint action: Adds the given work items to the sprint. It has the following parameters: 
	work_ids: A list of work item IDs to be added to the sprint.
	sprint_id: The ID of the sprint to which the work items should be added.


The get_sprint_id action: Returns the ID of the current sprint. It has no parameters. 

The get_similar_work_items action: Returns a list of work items that are similar to the given work item. It has the following parameters: 
	work_id: The ID of the work item for which you want to find similar items.


The search_object_by_name action: Given a search string, returns the ID of a matching object in the system of record. If multiple matches are found, it returns the one where the confidence is highest. It has the following parameters: 
	query: The search string, could be for example customer’s name, part name, user name.


The create_actionable_tasks_from_text action: Given a text, extracts actionable insights, and creates tasks for them, which are kind of a work item. It has the following parameters: 
	text: The text from which the actionable insights need to be created.


The who_am_i action: Returns the ID of the current user. It has no parameters. 
",
"Retrieve work items associated with the Rev organization Rev-789 and tickets that need a response, and create a summary.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""ticket.rev_org"",
        ""argument_value"": ""Rev-789""
      },
      {
        ""argument_name"": ""ticket.needs_response"",
        ""argument_value"": true
      }
    ]
  },
  {
    ""tool_name"": ""summarize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]","You are an AI assistant designed to help developers in their day to day tasks by automating their requests using tools available to them.

The actions defined in this domain are:

The works_list action: Returns a list of work items matching the request. It has the following parameters: 
	applies_to_part: Filters for work belonging to any of the provided parts.
	created_by: Filters for work created by any of these users.
	issue.priority: Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3.
	issue.rev_orgs: Filters for issues with any of the provided Rev organizations.
	limit: The maximum number of works to return. The default is '50'.
	owned_by: Filters for work owned by any of these users.
	stage.name: Filters for records in the provided stage(s) by name.
	ticket.needs_response: Filters for tickets that need a response.
	ticket.rev_org: Filters for tickets associated with any of the provided Rev organizations.
	ticket.severity: Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium.
	ticket.source_channel: Filters for tickets with any of the provided source channels.
	type: Filters for work of the provided types. Allowed values: issue, ticket, task.


The summarize_objects action: Summarizes a list of objects. The logic of how to summarize a particular object type is an internal implementation detail. It has the following parameters: 
	objects: List of objects to summarize.


The prioritize_objects action: Returns a list of objects sorted by priority. The logic of what constitutes priority for a given object is an internal implementation detail. It has the following parameters: 
	objects: A list of objects to be prioritized.


The add_work_items_to_sprint action: Adds the given work items to the sprint. It has the following parameters: 
	work_ids: A list of work item IDs to be added to the sprint.
	sprint_id: The ID of the sprint to which the work items should be added.


The get_sprint_id action: Returns the ID of the current sprint. It has no parameters. 

The get_similar_work_items action: Returns a list of work items that are similar to the given work item. It has the following parameters: 
	work_id: The ID of the work item for which you want to find similar items.


The search_object_by_name action: Given a search string, returns the ID of a matching object in the system of record. If multiple matches are found, it returns the one where the confidence is highest. It has the following parameters: 
	query: The search string, could be for example customer’s name, part name, user name.


The create_actionable_tasks_from_text action: Given a text, extracts actionable insights, and creates tasks for them, which are kind of a work item. It has the following parameters: 
	text: The text from which the actionable insights need to be created.


The who_am_i action: Returns the ID of the current user. It has no parameters. 
",
"Find work items with medium severity and owned by user USER-789, and then prioritize them.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""ticket.severity"",
        ""argument_value"": ""medium""
      },
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": ""USER-789""
      }
    ]
  },
  {
    ""tool_name"": ""prioritize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]","You are an AI assistant designed to help developers in their day to day tasks by automating their requests using tools available to them.

The actions defined in this domain are:

The works_list action: Returns a list of work items matching the request. It has the following parameters: 
	applies_to_part: Filters for work belonging to any of the provided parts.
	created_by: Filters for work created by any of these users.
	issue.priority: Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3.
	issue.rev_orgs: Filters for issues with any of the provided Rev organizations.
	limit: The maximum number of works to return. The default is '50'.
	owned_by: Filters for work owned by any of these users.
	stage.name: Filters for records in the provided stage(s) by name.
	ticket.needs_response: Filters for tickets that need a response.
	ticket.rev_org: Filters for tickets associated with any of the provided Rev organizations.
	ticket.severity: Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium.
	ticket.source_channel: Filters for tickets with any of the provided source channels.
	type: Filters for work of the provided types. Allowed values: issue, ticket, task.


The summarize_objects action: Summarizes a list of objects. The logic of how to summarize a particular object type is an internal implementation detail. It has the following parameters: 
	objects: List of objects to summarize.


The prioritize_objects action: Returns a list of objects sorted by priority. The logic of what constitutes priority for a given object is an internal implementation detail. It has the following parameters: 
	objects: A list of objects to be prioritized.


The add_work_items_to_sprint action: Adds the given work items to the sprint. It has the following parameters: 
	work_ids: A list of work item IDs to be added to the sprint.
	sprint_id: The ID of the sprint to which the work items should be added.


The get_sprint_id action: Returns the ID of the current sprint. It has no parameters. 

The get_similar_work_items action: Returns a list of work items that are similar to the given work item. It has the following parameters: 
	work_id: The ID of the work item for which you want to find similar items.


The search_object_by_name action: Given a search string, returns the ID of a matching object in the system of record. If multiple matches are found, it returns the one where the confidence is highest. It has the following parameters: 
	query: The search string, could be for example customer’s name, part name, user name.


The create_actionable_tasks_from_text action: Given a text, extracts actionable insights, and creates tasks for them, which are kind of a work item. It has the following parameters: 
	text: The text from which the actionable insights need to be created.


The who_am_i action: Returns the ID of the current user. It has no parameters. 
",
"Retrieve work items in the design stage and owned by USER-456, then create action items from the results.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""stage.name"",
        ""argument_value"": ""design""
      },
      {
        ""argument_name"": ""owned_by"",
        ""argument_value"": ""USER-456""
      }
    ]
  },
  {
    ""tool_name"": ""create_actionable_tasks_from_text"",
    ""arguments"": [
      {
        ""argument_name"": ""text"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]","You are an AI assistant designed to help developers in their day to day tasks by automating their requests using tools available to them.

The actions defined in this domain are:

The works_list action: Returns a list of work items matching the request. It has the following parameters: 
	applies_to_part: Filters for work belonging to any of the provided parts.
	created_by: Filters for work created by any of these users.
	issue.priority: Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3.
	issue.rev_orgs: Filters for issues with any of the provided Rev organizations.
	limit: The maximum number of works to return. The default is '50'.
	owned_by: Filters for work owned by any of these users.
	stage.name: Filters for records in the provided stage(s) by name.
	ticket.needs_response: Filters for tickets that need a response.
	ticket.rev_org: Filters for tickets associated with any of the provided Rev organizations.
	ticket.severity: Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium.
	ticket.source_channel: Filters for tickets with any of the provided source channels.
	type: Filters for work of the provided types. Allowed values: issue, ticket, task.


The summarize_objects action: Summarizes a list of objects. The logic of how to summarize a particular object type is an internal implementation detail. It has the following parameters: 
	objects: List of objects to summarize.


The prioritize_objects action: Returns a list of objects sorted by priority. The logic of what constitutes priority for a given object is an internal implementation detail. It has the following parameters: 
	objects: A list of objects to be prioritized.


The add_work_items_to_sprint action: Adds the given work items to the sprint. It has the following parameters: 
	work_ids: A list of work item IDs to be added to the sprint.
	sprint_id: The ID of the sprint to which the work items should be added.


The get_sprint_id action: Returns the ID of the current sprint. It has no parameters. 

The get_similar_work_items action: Returns a list of work items that are similar to the given work item. It has the following parameters: 
	work_id: The ID of the work item for which you want to find similar items.


The search_object_by_name action: Given a search string, returns the ID of a matching object in the system of record. If multiple matches are found, it returns the one where the confidence is highest. It has the following parameters: 
	query: The search string, could be for example customer’s name, part name, user name.


The create_actionable_tasks_from_text action: Given a text, extracts actionable insights, and creates tasks for them, which are kind of a work item. It has the following parameters: 
	text: The text from which the actionable insights need to be created.


The who_am_i action: Returns the ID of the current user. It has no parameters. 
",
Get the current sprint ID and then find work items in that sprint.,"[
  {
    ""tool_name"": ""get_sprint_id"",
    ""arguments"": []
  },
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""sprint_id"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]","You are an AI assistant designed to help developers in their day to day tasks by automating their requests using tools available to them.

The actions defined in this domain are:

The works_list action: Returns a list of work items matching the request. It has the following parameters: 
	applies_to_part: Filters for work belonging to any of the provided parts.
	created_by: Filters for work created by any of these users.
	issue.priority: Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3.
	issue.rev_orgs: Filters for issues with any of the provided Rev organizations.
	limit: The maximum number of works to return. The default is '50'.
	owned_by: Filters for work owned by any of these users.
	stage.name: Filters for records in the provided stage(s) by name.
	ticket.needs_response: Filters for tickets that need a response.
	ticket.rev_org: Filters for tickets associated with any of the provided Rev organizations.
	ticket.severity: Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium.
	ticket.source_channel: Filters for tickets with any of the provided source channels.
	type: Filters for work of the provided types. Allowed values: issue, ticket, task.


The summarize_objects action: Summarizes a list of objects. The logic of how to summarize a particular object type is an internal implementation detail. It has the following parameters: 
	objects: List of objects to summarize.


The prioritize_objects action: Returns a list of objects sorted by priority. The logic of what constitutes priority for a given object is an internal implementation detail. It has the following parameters: 
	objects: A list of objects to be prioritized.


The add_work_items_to_sprint action: Adds the given work items to the sprint. It has the following parameters: 
	work_ids: A list of work item IDs to be added to the sprint.
	sprint_id: The ID of the sprint to which the work items should be added.


The get_sprint_id action: Returns the ID of the current sprint. It has no parameters. 

The get_similar_work_items action: Returns a list of work items that are similar to the given work item. It has the following parameters: 
	work_id: The ID of the work item for which you want to find similar items.


The search_object_by_name action: Given a search string, returns the ID of a matching object in the system of record. If multiple matches are found, it returns the one where the confidence is highest. It has the following parameters: 
	query: The search string, could be for example customer’s name, part name, user name.


The create_actionable_tasks_from_text action: Given a text, extracts actionable insights, and creates tasks for them, which are kind of a work item. It has the following parameters: 
	text: The text from which the actionable insights need to be created.


The who_am_i action: Returns the ID of the current user. It has no parameters. 
",
Search for objects related to ProjectX and summarize them.,"[
  {
    ""tool_name"": ""search_object_by_name"",
    ""arguments"": [
      {
        ""argument_name"": ""query"",
        ""argument_value"": ""ProjectX""
      }
    ]
  },
  {
    ""tool_name"": ""summarize_objects"",
    ""arguments"": [
      {
        ""argument_name"": ""objects"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]","You are an AI assistant designed to help developers in their day to day tasks by automating their requests using tools available to them.

The actions defined in this domain are:

The works_list action: Returns a list of work items matching the request. It has the following parameters: 
	applies_to_part: Filters for work belonging to any of the provided parts.
	created_by: Filters for work created by any of these users.
	issue.priority: Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3.
	issue.rev_orgs: Filters for issues with any of the provided Rev organizations.
	limit: The maximum number of works to return. The default is '50'.
	owned_by: Filters for work owned by any of these users.
	stage.name: Filters for records in the provided stage(s) by name.
	ticket.needs_response: Filters for tickets that need a response.
	ticket.rev_org: Filters for tickets associated with any of the provided Rev organizations.
	ticket.severity: Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium.
	ticket.source_channel: Filters for tickets with any of the provided source channels.
	type: Filters for work of the provided types. Allowed values: issue, ticket, task.


The summarize_objects action: Summarizes a list of objects. The logic of how to summarize a particular object type is an internal implementation detail. It has the following parameters: 
	objects: List of objects to summarize.


The prioritize_objects action: Returns a list of objects sorted by priority. The logic of what constitutes priority for a given object is an internal implementation detail. It has the following parameters: 
	objects: A list of objects to be prioritized.


The add_work_items_to_sprint action: Adds the given work items to the sprint. It has the following parameters: 
	work_ids: A list of work item IDs to be added to the sprint.
	sprint_id: The ID of the sprint to which the work items should be added.


The get_sprint_id action: Returns the ID of the current sprint. It has no parameters. 

The get_similar_work_items action: Returns a list of work items that are similar to the given work item. It has the following parameters: 
	work_id: The ID of the work item for which you want to find similar items.


The search_object_by_name action: Given a search string, returns the ID of a matching object in the system of record. If multiple matches are found, it returns the one where the confidence is highest. It has the following parameters: 
	query: The search string, could be for example customer’s name, part name, user name.


The create_actionable_tasks_from_text action: Given a text, extracts actionable insights, and creates tasks for them, which are kind of a work item. It has the following parameters: 
	text: The text from which the actionable insights need to be created.


The who_am_i action: Returns the ID of the current user. It has no parameters. 
",
"Find all work items with PROD-123 and PROD-456 in the applies_to_part filter and have p1 or p2 priority, and then create action items from the results.","[
  {
    ""tool_name"": ""works_list"",
    ""arguments"": [
      {
        ""argument_name"": ""applies_to_part"",
        ""argument_value"": [""PROD-123"", ""PROD-456""]
      },
      {
        ""argument_name"": ""issue.priority"",
        ""argument_value"": [""p1"", ""p2""]
      }
    ]
  },
  {
    ""tool_name"": ""create_actionable_tasks_from_text"",
    ""arguments"": [
      {
        ""argument_name"": ""text"",
        ""argument_value"": ""$$PREV[0]""
      }
    ]
  }
]","You are an AI assistant designed to help developers in their day to day tasks by automating their requests using tools available to them.

The actions defined in this domain are:

The works_list action: Returns a list of work items matching the request. It has the following parameters: 
	applies_to_part: Filters for work belonging to any of the provided parts.
	created_by: Filters for work created by any of these users.
	issue.priority: Filters for issues with any of the provided priorities. Allowed values: p0, p1, p2, p3.
	issue.rev_orgs: Filters for issues with any of the provided Rev organizations.
	limit: The maximum number of works to return. The default is '50'.
	owned_by: Filters for work owned by any of these users.
	stage.name: Filters for records in the provided stage(s) by name.
	ticket.needs_response: Filters for tickets that need a response.
	ticket.rev_org: Filters for tickets associated with any of the provided Rev organizations.
	ticket.severity: Filters for tickets with any of the provided severities. Allowed values: blocker, high, low, medium.
	ticket.source_channel: Filters for tickets with any of the provided source channels.
	type: Filters for work of the provided types. Allowed values: issue, ticket, task.


The summarize_objects action: Summarizes a list of objects. The logic of how to summarize a particular object type is an internal implementation detail. It has the following parameters: 
	objects: List of objects to summarize.


The prioritize_objects action: Returns a list of objects sorted by priority. The logic of what constitutes priority for a given object is an internal implementation detail. It has the following parameters: 
	objects: A list of objects to be prioritized.


The add_work_items_to_sprint action: Adds the given work items to the sprint. It has the following parameters: 
	work_ids: A list of work item IDs to be added to the sprint.
	sprint_id: The ID of the sprint to which the work items should be added.


The get_sprint_id action: Returns the ID of the current sprint. It has no parameters. 

The get_similar_work_items action: Returns a list of work items that are similar to the given work item. It has the following parameters: 
	work_id: The ID of the work item for which you want to find similar items.


The search_object_by_name action: Given a search string, returns the ID of a matching object in the system of record. If multiple matches are found, it returns the one where the confidence is highest. It has the following parameters: 
	query: The search string, could be for example customer’s name, part name, user name.


The create_actionable_tasks_from_text action: Given a text, extracts actionable insights, and creates tasks for them, which are kind of a work item. It has the following parameters: 
	text: The text from which the actionable insights need to be created.


The who_am_i action: Returns the ID of the current user. It has no parameters. 
",
